Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
c70096e6-cb33-4a96-a175-99055021182c,"2020-05-25, 10:03:32 AM",Accountant,ChangePassword,,,,us-east-1,,AWS Internal
42dce9e4-93ec-4ac7-98e5-7b4a08b6ff9b,"2020-05-25, 10:02:57 AM",Accountant,ConsoleLogin,,,,us-east-1,,68.54.94.128
381118f7-c3f7-4b2a-9147-a9c556e17992,"2020-05-25, 09:58:34 AM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-2:518073560397:trail/Udacity_Trail""}]",,us-east-2,,68.54.94.128
76ed5fad-fde9-4761-9a1e-4e2a096ba2ba,"2020-05-25, 09:58:34 AM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""ud-prateek-cloudtrail""}]",,us-east-2,,68.54.94.128
78cf665c-4635-4fe9-aca7-476b7cbcbff0,"2020-05-25, 09:58:34 AM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-2:518073560397:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""ud-prateek-cloudtrail""}]",,us-east-2,,68.54.94.128
904c2574-f72f-43be-906c-caff217fa419,"2020-05-25, 09:58:34 AM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,us-east-2,,68.54.94.128
dab07ce5-16bf-44fb-8fcc-548febf6dde8,"2020-05-25, 09:58:14 AM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""ud-prateek-cloudtrail""}]",,us-east-2,BucketAlreadyOwnedByYou,68.54.94.128
59ce7dd1-8f5b-448b-914a-f704a4b5c5b8,"2020-05-25, 09:56:57 AM",CloudTrail,PutBucketPublicAccessBlock,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""ud-prateek-cloudtrail""}]",,us-east-2,AccessDenied,68.54.94.128
ee698d70-dbf1-4d68-bf2f-81a2b548f7e7,"2020-05-25, 09:56:57 AM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""ud-prateek-cloudtrail""}]",,us-east-2,,68.54.94.128
69362698-7b91-41c8-8e86-bc46b022c069,"2020-05-25, 09:49:39 AM",CloudTrail,ChangePassword,,,,us-east-1,,AWS Internal
bc282c3a-d9fe-4a38-83d8-a832c8f564c7,"2020-05-25, 09:44:20 AM",root,ConsoleLogin,,,,us-east-1,,68.54.94.128
a290f28a-29a0-4dbd-96de-d977ad6cc980,"2020-05-25, 09:40:05 AM",prateek,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,68.54.94.128
94ae9939-aa75-4dbc-9c66-a30ea5204930,"2020-05-25, 09:40:04 AM",prateek,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,68.54.94.128
c8f8a108-cca8-458d-a265-eb3d0bc9d5d7,"2020-05-25, 09:40:04 AM",prateek,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,68.54.94.128
7cb9294f-4c6d-4a4e-8e60-4c645accbb9f,"2020-05-25, 09:40:03 AM",prateek,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::518073560397:user/Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAXRH4XFVGSNJUYED52""}]",,us-east-1,,68.54.94.128
3315591b-c654-4c27-9be9-b15c2d1fd9ef,"2020-05-25, 09:38:47 AM",prateek,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,68.54.94.128
a2f4d1ea-911d-4014-a4c0-ea802b3686bf,"2020-05-25, 09:38:46 AM",prateek,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,68.54.94.128
bfabfb91-2028-40e8-a3c6-37fb15a7f6ea,"2020-05-25, 09:38:46 AM",prateek,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::518073560397:user/CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDAXRH4XFVGYV5G7Y32K""}]",,us-east-1,,68.54.94.128
ed336d48-e072-4bac-9de1-04bac72c5bca,"2020-05-25, 09:38:46 AM",prateek,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,68.54.94.128
399e1e35-91a2-42ca-98de-29e61bd768d4,"2020-05-25, 08:59:52 AM",prateek,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""}]",,us-east-1,,68.54.94.128
7345c8f7-519f-40ef-9131-e0eeb524b837,"2020-05-25, 08:59:52 AM",prateek,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::518073560397:group/Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Reviewers""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAXRH4XFVGSL75KWTGT""}]",,us-east-1,,68.54.94.128
558cc1db-991c-498d-ab25-ca54e98df8af,"2020-05-25, 08:59:17 AM",prateek,CreateGroup,IAM Group,"[{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""AGPAXRH4XFVG3RKRTJBFC""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""arn:aws:iam::518073560397:group/CloudTrailAdmins""}]",,us-east-1,,68.54.94.128
c6a1a760-c065-45bc-9951-283dac9e010c,"2020-05-25, 08:59:17 AM",prateek,AttachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/AWSCloudTrailFullAccess""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,68.54.94.128
a25d57b9-a560-476b-8bd7-c5675f704a2f,"2020-05-25, 08:56:04 AM",prateek,UpdateAccountPasswordPolicy,,,,us-east-1,,68.54.94.128
81dba1cb-c841-4dc0-af59-bbf1f4822ddb,"2020-05-25, 08:52:23 AM",root,ConsoleLogin,,,,us-east-1,,68.54.94.128
